#,Institution,Count,Faculty
1,Carnegie Mellon University,18.3,166
2,Univ. of Illinois at Urbana-Champaign,13.7,113
3,Univ. of California - San Diego,11.6,117
4,Massachusetts Institute of Technology,11.1,95
5,University of Michigan,10.3,100
6,Stanford University,10.1,68
6,University of Washington,10.1,82
8,Univ. of California - Berkeley,9.4,89
9,Cornell University,9.3,82
10,Georgia Institute of Technology,8.9,106
11,Northeastern University,7.5,78
11,University of Maryland - College Park,7.5,83
13,Purdue University,7.1,75
13,University of Wisconsin - Madison,7.1,69
15,Columbia University,7,57
16,University of Texas at Austin,6.9,49
17,University of Pennsylvania,6.8,73
18,University of Massachusetts Amherst,5.8,63
19,Princeton University,5.7,50
20,New York University,5.6,62
21,Univ. of California - Los Angeles,5.3,42
22,Stony Brook University,5.2,60
22,University of Chicago,5.2,46
24,Univ. of California - Santa Barbara,5.1,37
25,Rutgers University,4.7,49
25,Univ. of California - Irvine,4.7,68
25,University of Southern California,4.7,48
28,Duke University,4.6,51
29,Pennsylvania State University,4.3,60
29,Univ. of California - Riverside,4.3,48
31,Northwestern University,4.2,45
32,Ohio State University,4.1,47
33,George Mason University,3.9,54
34,Brown University,3.8,39
34,Harvard University,3.8,28
36,Texas A&M University,3.7,45
36,University of Utah,3.7,57
36,Yale University,3.7,39
39,Univ. of California - Santa Cruz,3.6,56
39,University at Buffalo,3.6,45
41,Boston University,3.5,38
41,University of Colorado Boulder,3.5,64
43,North Carolina State University,3.4,48
43,University of Illinois at Chicago,3.4,46
45,Rice University,3.3,29
45,University of Virginia,3.3,40
47,Arizona State University,3.2,49
47,University of Minnesota,3.2,39
47,University of North Carolina,3.2,35
47,Virginia Tech,3.2,59
51,Oregon State University,2.9,32
51,Univ. of California - Davis,2.9,35
53,Indiana University,2.8,55
53,Johns Hopkins University,2.8,27
55,University of Pittsburgh,2.7,35
56,University of Central Florida,2.5,40
57,University of Rochester,2.4,23
57,University of Texas at Dallas,2.4,38
59,Michigan State University,2.3,29
59,Rochester Institute of Technology,2.3,48
59,Washington University in St. Louis,2.3,23
62,Univ. of California - Merced,2.1,17
62,University of Delaware,2.1,26
62,University of Florida,2.1,28
62,University of Notre Dame,2.1,24
66,University of Connecticut,2,21
67,Binghamton University,1.9,18
67,TTI Chicago,1.9,13
67,Vanderbilt University,1.9,28
67,Worcester Polytechnic Institute,1.9,23
71,California Institute of Technology,1.8,12
71,Clemson University,1.8,27
71,Dartmouth College,1.8,18
71,Iowa State University,1.8,22
71,Stevens Institute of Technology,1.8,16
71,University of Texas at Arlington,1.8,21
77,CUNY,1.7,33
77,College of William and Mary,1.7,13
77,Emory University,1.7,15
77,Florida State University,1.7,17
77,NJIT,1.7,21
77,Tufts University,1.7,17
77,University of Oregon,1.7,15
84,Colorado School of Mines,1.6,11
84,Georgetown University,1.6,14
84,Illinois Institute of Technology,1.6,17
